,Unnamed: 0,category,fold,orig_idx,path,take,target,usr_id
0,0,blender,1,0,audio/0-158737-A-0.wav,A,0,158737
1,1,blender,1,1,audio/0-158737-B-0.wav,B,0,158737
2,2,blender,1,2,audio/0-158737-C-0.wav,C,0,158737
3,3,blender,1,3,audio/0-173319-A-0.wav,A,0,173319
4,4,blender,1,4,audio/0-173319-B-0.wav,B,0,173319
5,5,blender,1,5,audio/0-173319-C-0.wav,C,0,173319
6,6,blender,1,6,audio/0-173319-D-0.wav,D,0,173319
7,7,blender,1,7,audio/0-181625-A-0.wav,A,0,181625
8,8,blender,2,8,audio/1-181625-B-0.wav,B,0,181625
9,9,blender,2,9,audio/1-181625-C-0.wav,C,0,181625
10,10,blender,2,10,audio/1-181625-D-0.wav,D,0,181625
11,11,blender,2,11,audio/1-202718-A-0.wav,A,0,202718
12,12,blender,2,12,audio/1-202718-B-0.wav,B,0,202718
13,13,blender,2,13,audio/1-202718-C-0.wav,C,0,202718
14,14,blender,2,14,audio/1-202718-D-0.wav,D,0,202718
15,15,blender,2,15,audio/1-220806-A-0.wav,A,0,220806
16,16,blender,3,16,audio/2-220806-B-0.wav,B,0,220806
17,17,blender,3,17,audio/2-234883-A-0.wav,A,0,234883
18,18,blender,3,18,audio/2-234883-B-0.wav,B,0,234883
19,19,blender,3,19,audio/2-275954-A-0.wav,A,0,275954
20,20,blender,3,20,audio/2-275954-B-0.wav,B,0,275954
21,21,blender,3,21,audio/2-275954-C-0.wav,C,0,275954
22,22,blender,3,22,audio/2-31632-A-0.wav,A,0,31632
23,23,blender,3,23,audio/2-31633-A-0.wav,A,0,31633
24,24,blender,4,24,audio/3-334515-A-0.wav,A,0,334515
25,25,blender,4,25,audio/3-340830-A-0.wav,A,0,340830
26,26,blender,4,26,audio/3-346170-A-0.wav,A,0,346170
27,27,blender,4,27,audio/3-366512-A-0.wav,A,0,366512
28,28,blender,4,28,audio/3-366512-B-0.wav,B,0,366512
29,29,blender,4,29,audio/3-366512-C-0.wav,C,0,366512
30,30,blender,4,30,audio/3-387708-A-0.wav,A,0,387708
31,31,blender,4,31,audio/3-387708-B-0.wav,B,0,387708
32,32,blender,5,32,audio/4-393768-A-0.wav,A,0,393768
33,33,blender,5,33,audio/4-440675-A-0.wav,A,0,440675
34,34,blender,5,34,audio/4-440675-B-0.wav,B,0,440675
35,35,blender,5,35,audio/4-440675-C-0.wav,C,0,440675
36,36,blender,5,36,audio/4-98053-A-0.wav,A,0,98053
37,37,blender,5,37,audio/4-98053-B-0.wav,B,0,98053
38,38,blender,5,38,audio/4-M-Mixer.wav-A-0.wav,A,0,M-Mixer.wav
39,39,blender,5,39,audio/4-M-Mixer.wav-B-0.wav,B,0,M-Mixer.wav
40,40,blender,6,40,audio/5-M-Mixer.wav-C-0.wav,C,0,M-Mixer.wav
41,41,blender,6,41,audio/5-M-Mixer.wav-D-0.wav,D,0,M-Mixer.wav
