,index,truth,prediction,issue
0,323,cutlery,cutlery,
1,886,stove-fan,stove-fan,
2,637,frying-pan,frying-pan,
3,112,book,book,
4,748,peel,peel,
5,4,blender,blender,
6,1059,juicer,blender,
7,116,book,book,
8,230,clean-dishes,stove-burner,
9,465,drawer,drawer,
10,137,book,book,
11,761,peel,peel,
12,361,dishwasher,boiling-water,
13,815,plates,plates,
14,99,book,book,
15,723,microwave,microwave,
16,594,frying-pan,frying-pan,
17,509,eat,eat,
18,149,chopping,chopping,
19,312,cutlery,cutlery,
20,243,clean-dishes,clean-dishes,
21,373,dishwasher,stove-fan,
22,795,plates,plates,
23,67,boiling-water,boiling-water,
24,247,clean-dishes,water-flowing,
25,953,sweep,water-flowing,
26,299,cutlery,cutlery,
27,789,plates,cutlery,
28,150,chopping,chopping,
29,383,dishwasher,dishwasher,
30,238,clean-dishes,clean-dishes,
31,645,juicer,juicer,
32,368,dishwasher,dishwasher,
33,350,cutlery,cutlery,
34,75,boiling-water,boiling-water,
35,982,sweep,sweep,
36,784,plates,plates,
37,673,juicer,blender,
38,338,cutlery,cutlery,
39,730,peel,chopping,
40,512,eat,eat,
41,824,plates,plates,
42,1023,water-flowing,water-flowing,
43,671,juicer,juicer,
44,118,book,book,
45,751,peel,peel,
46,289,cupboard,cupboard,
47,382,dishwasher,dishwasher,
48,935,sweep,sweep,
49,988,water-flowing,water-flowing,
50,869,stove-burner,stove-burner,
51,872,stove-burner,stove-burner,
52,887,stove-fan,blender,
53,773,plates,plates,
54,181,chopping,chopping,
55,316,cutlery,cutlery,
56,81,boiling-water,boiling-water,
57,481,eat,eat,
58,536,fridge,stove-fan,
59,358,cutlery,cutlery,
60,1058,juicer,blender,
61,778,plates,plates,
62,411,dishwasher,dishwasher,
63,468,drawer,drawer,
64,314,cutlery,cutlery,
65,1034,water-flowing,water-flowing,
66,507,eat,eat,
67,1015,water-flowing,juicer,
68,843,stove-burner,stove-burner,
69,41,blender,blender,
70,574,frying-pan,frying-pan,
71,716,microwave,stove-fan,
72,626,frying-pan,frying-pan,
73,58,boiling-water,boiling-water,
74,477,drawer,drawer,
75,866,stove-burner,stove-burner,
76,270,cupboard,cupboard,
77,601,frying-pan,stove-burner,
78,662,juicer,blender,
79,695,microwave,stove-fan,
