,index,truth,prediction,issue
0,54,boiling-water,boiling-water,
1,726,peel,chopping,
2,399,dishwasher,dishwasher,
3,174,chopping,chopping,
4,515,eat,eat,
5,713,microwave,microwave,
6,637,frying-pan,frying-pan,
7,145,chopping,chopping,
8,1025,water-flowing,water-flowing,
9,798,plates,plates,
10,650,juicer,blender,
11,575,frying-pan,frying-pan,
12,712,microwave,stove-fan,
13,638,frying-pan,water-flowing,
14,850,stove-burner,stove-burner,
15,728,peel,peel,
16,675,microwave,microwave,
17,725,microwave,microwave,
18,415,dishwasher,microwave,
19,640,frying-pan,frying-pan,
20,438,drawer,drawer,
21,504,eat,eat,
22,397,dishwasher,dishwasher,
23,973,sweep,sweep,
24,652,juicer,blender,
25,523,fridge,cupboard,
26,1024,water-flowing,water-flowing,
27,1002,water-flowing,water-flowing,
28,822,plates,plates,
29,839,stove-burner,stove-burner,
30,536,fridge,fridge,
31,237,clean-dishes,clean-dishes,
32,1018,water-flowing,water-flowing,
33,495,eat,eat,
34,213,clean-dishes,clean-dishes,
35,314,cutlery,cutlery,
36,461,drawer,drawer,
37,978,sweep,sweep,
38,362,dishwasher,dishwasher,
39,723,microwave,microwave,
40,937,sweep,sweep,
41,518,eat,eat,
42,1020,water-flowing,water-flowing,
43,743,peel,chopping,
44,670,juicer,blender,
45,871,stove-burner,stove-burner,
46,786,plates,plates,
47,56,boiling-water,frying-pan,
48,902,stove-fan,stove-fan,
49,119,book,book,
50,53,boiling-water,boiling-water,
51,758,peel,peel,
52,1060,juicer,blender,
53,767,plates,plates,
54,791,plates,cutlery,
55,690,microwave,microwave,
56,118,book,book,
57,123,book,book,
58,991,water-flowing,water-flowing,
59,8,blender,blender,
60,964,sweep,sweep,
61,529,fridge,fridge,
62,318,cutlery,cutlery,
63,932,sweep,sweep,
64,817,plates,plates,
65,316,cutlery,cutlery,
66,468,drawer,drawer,
67,742,peel,peel,
68,999,water-flowing,water-flowing,
69,699,microwave,microwave,
70,762,peel,chopping,
71,789,plates,cutlery,
72,705,microwave,microwave,
73,90,boiling-water,boiling-water,
74,321,cutlery,cutlery,
75,71,boiling-water,frying-pan,
76,324,cutlery,cutlery,
77,890,stove-fan,stove-fan,
78,737,peel,peel,
79,532,fridge,fridge,
