,index,truth,prediction,issue
0,255,cupboard,cupboard,
1,740,peel,sweep,
2,683,microwave,microwave,
3,606,frying-pan,frying-pan,
4,932,sweep,clean-dishes,
5,1025,water-flowing,dishwasher,
6,313,cutlery,cutlery,
7,946,sweep,sweep,
8,693,microwave,blender,
9,527,fridge,fridge,
10,705,microwave,blender,
11,632,frying-pan,frying-pan,
12,1066,juicer,blender,
13,245,clean-dishes,boiling-water,
14,572,fridge,cupboard,
15,426,drawer,drawer,
16,504,eat,eat,
17,186,chopping,chopping,
18,100,book,book,
19,1046,peel,stove-fan,
20,424,dishwasher,boiling-water,
21,536,fridge,plates,
22,281,cupboard,cupboard,
23,963,sweep,sweep,
24,251,cupboard,drawer,
25,1048,peel,peel,
26,909,stove-fan,stove-fan,
27,799,plates,plates,
28,639,frying-pan,water-flowing,
29,480,drawer,drawer,
30,297,cutlery,cutlery,
31,276,cupboard,stove-burner,
32,428,drawer,drawer,
33,373,dishwasher,boiling-water,
34,229,clean-dishes,clean-dishes,
35,653,juicer,blender,
36,160,chopping,chopping,
37,145,chopping,chopping,
38,436,drawer,drawer,
39,400,dishwasher,dishwasher,
40,57,boiling-water,microwave,
41,312,cutlery,cutlery,
42,828,plates,plates,
43,626,frying-pan,frying-pan,
44,676,microwave,microwave,
45,845,stove-burner,stove-burner,
46,914,stove-fan,stove-fan,
47,1031,water-flowing,boiling-water,
48,162,chopping,sweep,
49,1033,water-flowing,water-flowing,
50,456,drawer,drawer,
51,765,peel,peel,
52,381,dishwasher,dishwasher,
53,974,sweep,sweep,
54,177,chopping,chopping,
55,522,eat,eat,
56,81,boiling-water,water-flowing,
57,159,chopping,chopping,
58,487,eat,eat,
59,1057,juicer,blender,
60,358,cutlery,cutlery,
61,912,stove-fan,blender,
62,723,microwave,blender,
63,61,boiling-water,boiling-water,
64,497,eat,eat,
65,211,clean-dishes,frying-pan,
66,266,cupboard,cupboard,
67,88,boiling-water,boiling-water,
68,443,drawer,drawer,
69,585,frying-pan,frying-pan,
70,12,blender,blender,
71,32,blender,juicer,
72,286,cupboard,fridge,
73,818,plates,plates,
74,962,sweep,sweep,
75,1069,juicer,juicer,
76,35,blender,blender,
77,389,dishwasher,stove-fan,
78,712,microwave,stove-fan,
79,498,eat,eat,
