,index,truth,prediction,issue
0,873,stove-burner,stove-burner,
1,853,stove-burner,stove-burner,
2,507,eat,eat,
3,91,boiling-water,water-flowing,
4,49,boiling-water,dishwasher,
5,503,eat,eat,
6,136,book,book,
7,430,drawer,drawer,
8,125,book,book,
9,727,peel,peel,
10,457,drawer,cupboard,
11,397,dishwasher,juicer,
12,844,stove-burner,stove-burner,
13,543,fridge,stove-burner,
14,1060,juicer,blender,
15,989,water-flowing,water-flowing,
16,790,plates,cutlery,
17,829,plates,plates,
18,83,boiling-water,boiling-water,
19,658,juicer,blender,
20,433,drawer,drawer,
21,878,stove-fan,stove-fan,
22,278,cupboard,cupboard,
23,124,book,book,
24,807,plates,plates,
25,170,chopping,chopping,
26,749,peel,peel,
27,0,blender,blender,
28,335,cutlery,cutlery,
29,938,sweep,sweep,
30,259,cupboard,cupboard,I dont think this sounds like anything in particular
31,854,stove-burner,stove-burner,
32,911,stove-fan,stove-fan,
33,421,dishwasher,dishwasher,
34,43,blender,juicer,
35,602,frying-pan,frying-pan,
36,423,dishwasher,dishwasher,
37,1002,water-flowing,water-flowing,
38,914,stove-fan,blender,
39,995,water-flowing,water-flowing,
40,548,fridge,chopping,
41,308,cutlery,cutlery,
42,505,eat,eat,
43,794,plates,plates,
44,536,fridge,cupboard,
45,761,peel,peel,
46,166,chopping,chopping,
47,927,stove-fan,dishwasher,
48,653,juicer,juicer,
49,443,drawer,drawer,
50,571,fridge,fridge,
51,16,blender,blender,
52,202,clean-dishes,clean-dishes,
53,973,sweep,sweep,
54,269,cupboard,cupboard,
55,740,peel,peel,
56,464,drawer,drawer,
57,984,sweep,sweep,
58,662,juicer,juicer,
59,77,boiling-water,boiling-water,
60,959,sweep,sweep,
61,637,frying-pan,frying-pan,
62,822,plates,plates,
63,209,clean-dishes,water-flowing,
64,85,boiling-water,stove-burner,
65,568,fridge,fridge,
66,87,boiling-water,boiling-water,
67,454,drawer,drawer,
68,412,dishwasher,dishwasher,
69,625,frying-pan,frying-pan,
70,628,frying-pan,frying-pan,
71,131,book,book,
72,642,juicer,juicer,
73,285,cupboard,fridge,
74,542,fridge,stove-fan,
75,1036,water-flowing,water-flowing,
76,366,dishwasher,dishwasher,
77,784,plates,plates,
78,132,book,book,
79,948,sweep,sweep,
