,index,truth,prediction,issue
0,424,dishwasher,dishwasher,
1,664,juicer,juicer,
2,838,stove-burner,stove-burner,
3,756,peel,peel,
4,543,fridge,fridge,
5,1040,cupboard,cupboard,
6,790,plates,plates,
7,988,water-flowing,water-flowing,
8,786,plates,clean-dishes,
9,977,sweep,sweep,
10,969,sweep,sweep,
11,987,sweep,sweep,
12,465,drawer,drawer,
13,633,frying-pan,frying-pan,
14,931,sweep,sweep,
15,51,boiling-water,boiling-water,
16,542,fridge,fridge,
17,157,chopping,cupboard,
18,657,juicer,juicer,
19,212,clean-dishes,water-flowing,
20,311,cutlery,cutlery,
21,126,book,book,
22,227,clean-dishes,clean-dishes,
23,711,microwave,stove-fan,
24,521,eat,eat,
25,544,fridge,cupboard,
26,142,book,peel,
27,301,cutlery,cutlery,
28,860,stove-burner,stove-burner,
29,494,eat,eat,
30,836,stove-burner,stove-burner,
31,506,eat,eat,
32,751,peel,peel,
33,623,frying-pan,frying-pan,
34,447,drawer,drawer,
35,230,clean-dishes,clean-dishes,
36,974,sweep,sweep,
37,1041,cupboard,cupboard,
38,698,microwave,microwave,
39,1020,water-flowing,blender,
40,416,dishwasher,cupboard,
41,270,cupboard,cupboard,
42,198,clean-dishes,clean-dishes,
43,508,eat,eat,
44,1004,water-flowing,water-flowing,
45,119,book,book,
46,235,clean-dishes,clean-dishes,
47,574,frying-pan,frying-pan,
48,822,plates,plates,
49,165,chopping,chopping,
50,47,boiling-water,microwave,
51,601,frying-pan,frying-pan,
52,2,blender,blender,
53,50,boiling-water,frying-pan,
54,302,cutlery,cutlery,
55,40,blender,cutlery,
56,858,stove-burner,stove-burner,
57,569,fridge,fridge,
58,625,frying-pan,frying-pan,
59,922,stove-fan,stove-fan,
60,920,stove-fan,stove-fan,
61,616,frying-pan,frying-pan,
62,546,fridge,drawer,
63,210,clean-dishes,water-flowing,
64,304,cutlery,cutlery,
65,403,dishwasher,dishwasher,
66,60,boiling-water,boiling-water,
67,891,stove-fan,microwave,
68,811,plates,plates,
69,503,eat,eat,
70,356,cutlery,cutlery,
71,643,juicer,juicer,
72,909,stove-fan,stove-fan,
73,1062,juicer,blender,
74,796,plates,plates,
75,1068,juicer,juicer,
76,300,cutlery,cutlery,
77,778,plates,plates,
78,231,clean-dishes,clean-dishes,
79,752,peel,peel,
