,index,truth,prediction,issue
0,992,water-flowing,water-flowing,
1,159,chopping,sweep,
2,441,drawer,drawer,
3,480,drawer,cupboard,
4,807,plates,plates,
5,741,peel,peel,
6,837,stove-burner,stove-burner,
7,230,clean-dishes,clean-dishes,
8,524,fridge,fridge,
9,462,drawer,drawer,
10,564,fridge,microwave,
11,155,chopping,peel,
12,92,boiling-water,dishwasher,
13,971,sweep,sweep,
14,218,clean-dishes,clean-dishes,
15,832,stove-burner,stove-burner,
16,599,frying-pan,frying-pan,
17,248,clean-dishes,dishwasher,
18,579,frying-pan,frying-pan,
19,995,water-flowing,water-flowing,
20,676,microwave,dishwasher,
21,396,dishwasher,dishwasher,
22,486,eat,eat,
23,722,microwave,microwave,
24,964,sweep,sweep,
25,740,peel,peel,
26,215,clean-dishes,clean-dishes,
27,5,blender,juicer,
28,570,fridge,fridge,
29,852,stove-burner,stove-burner,
30,884,stove-fan,stove-fan,
31,585,frying-pan,water-flowing,
32,410,dishwasher,dishwasher,
33,791,plates,cutlery,
34,704,microwave,juicer,
35,548,fridge,juicer,
36,651,juicer,juicer,
37,437,drawer,drawer,
38,640,frying-pan,frying-pan,
39,1012,water-flowing,water-flowing,
40,873,stove-burner,juicer,
41,456,drawer,drawer,
42,133,book,book,
43,163,chopping,chopping,
44,38,blender,blender,
45,152,chopping,chopping,
46,566,fridge,cupboard,
47,1036,water-flowing,dishwasher,
48,170,chopping,chopping,
49,263,cupboard,cupboard,
50,691,microwave,microwave,
51,922,stove-fan,stove-fan,
52,633,frying-pan,frying-pan,
53,156,chopping,chopping,
54,794,plates,plates,
55,1007,water-flowing,water-flowing,
56,729,peel,peel,
57,104,book,book,
58,1025,water-flowing,water-flowing,
59,431,drawer,drawer,
60,382,dishwasher,dishwasher,
61,240,clean-dishes,clean-dishes,
62,381,dishwasher,dishwasher,
63,994,water-flowing,water-flowing,
64,315,cutlery,cutlery,
65,343,cutlery,cutlery,
66,142,book,chopping,
67,446,drawer,drawer,
68,311,cutlery,cutlery,
69,166,chopping,chopping,
70,291,cutlery,cutlery,
71,287,cupboard,cupboard,
72,217,clean-dishes,water-flowing,
73,476,drawer,drawer,
74,899,stove-fan,blender,
75,757,peel,peel,
76,433,drawer,drawer,
77,175,chopping,chopping,
78,717,microwave,microwave,
79,49,boiling-water,boiling-water,
