,index,truth,prediction,issue
0,156,chopping,chopping,
1,1060,juicer,blender,
2,499,eat,eat,
3,197,clean-dishes,water-flowing,
4,585,frying-pan,frying-pan,
5,625,frying-pan,stove-burner,
6,239,clean-dishes,clean-dishes,
7,975,sweep,sweep,
8,124,book,book,
9,1035,water-flowing,water-flowing,
10,10,blender,blender,
11,438,drawer,drawer,
12,799,plates,plates,
13,447,drawer,fridge,
14,869,stove-burner,stove-burner,
15,26,blender,blender,
16,505,eat,eat,
17,531,fridge,microwave,
18,761,peel,peel,
19,672,juicer,blender,
20,712,microwave,microwave,
21,191,clean-dishes,clean-dishes,
22,881,stove-fan,microwave,
23,439,drawer,drawer,
24,775,plates,plates,
25,361,dishwasher,dishwasher,
26,1051,peel,peel,
27,75,boiling-water,boiling-water,
28,336,cutlery,cutlery,
29,359,dishwasher,dishwasher,
30,956,sweep,sweep,
31,797,plates,plates,
32,130,book,book,
33,1031,water-flowing,water-flowing,
34,405,dishwasher,dishwasher,
35,978,sweep,sweep,
36,76,boiling-water,boiling-water,
37,477,drawer,cupboard,
38,136,book,book,
39,140,book,book,
40,772,plates,plates,
41,811,plates,plates,
42,319,cutlery,cutlery,
43,64,boiling-water,boiling-water,
44,165,chopping,chopping,
45,398,dishwasher,juicer,
46,549,fridge,cupboard,
47,550,fridge,fridge,
48,406,dishwasher,dishwasher,
49,261,cupboard,cupboard,
50,620,frying-pan,frying-pan,
51,478,drawer,drawer,
52,365,dishwasher,dishwasher,
53,698,microwave,stove-fan,
54,286,cupboard,cupboard,
55,1068,juicer,blender,
56,654,juicer,blender,
57,291,cutlery,cutlery,
58,34,blender,blender,
59,307,cutlery,cutlery,
60,846,stove-burner,stove-burner,
61,820,plates,plates,
62,882,stove-fan,stove-fan,
63,539,fridge,cupboard,
64,858,stove-burner,stove-burner,
65,161,chopping,chopping,
66,402,dishwasher,dishwasher,
67,525,fridge,fridge,
68,313,cutlery,cutlery,
69,817,plates,plates,
70,711,microwave,stove-fan,
71,760,peel,peel,
72,853,stove-burner,stove-burner,
73,459,drawer,drawer,
74,722,microwave,microwave,
75,715,microwave,microwave,
76,182,chopping,chopping,
77,866,stove-burner,stove-burner,
78,692,microwave,microwave,
79,724,microwave,microwave,
