,index,truth,prediction,issue
0,365,dishwasher,blender,
1,524,fridge,fridge,
2,608,frying-pan,frying-pan,
3,807,plates,plates,
4,1004,water-flowing,water-flowing,
5,670,juicer,juicer,
6,159,chopping,chopping,
7,81,boiling-water,boiling-water,
8,819,plates,cutlery,
9,280,cupboard,cupboard,
10,75,boiling-water,boiling-water,
11,360,dishwasher,dishwasher,
12,161,chopping,chopping,
13,880,stove-fan,stove-burner,
14,187,chopping,chopping,
15,844,stove-burner,stove-burner,
16,45,blender,blender,
17,667,juicer,juicer,
18,211,clean-dishes,clean-dishes,
19,581,frying-pan,water-flowing,
20,636,frying-pan,frying-pan,
21,350,cutlery,cutlery,
22,284,cupboard,cupboard,
23,282,cupboard,cupboard,
24,108,book,book,
25,661,juicer,juicer,
26,507,eat,eat,
27,103,book,book,
28,30,blender,blender,
29,1031,water-flowing,water-flowing,
30,808,plates,plates,
31,479,drawer,drawer,
32,513,eat,eat,
33,640,frying-pan,frying-pan,
34,782,plates,plates,
35,850,stove-burner,stove-burner,
36,1008,water-flowing,water-flowing,
37,637,frying-pan,frying-pan,
38,550,fridge,fridge,
39,589,frying-pan,frying-pan,
40,326,cutlery,cutlery,
41,799,plates,plates,
42,643,juicer,juicer,
43,711,microwave,stove-fan,
44,147,chopping,chopping,
45,1001,water-flowing,water-flowing,
46,593,frying-pan,frying-pan,
47,213,clean-dishes,clean-dishes,
48,336,cutlery,cutlery,
49,489,eat,eat,
50,543,fridge,fridge,
51,0,blender,blender,
52,352,cutlery,cutlery,
53,256,cupboard,cupboard,
54,582,frying-pan,frying-pan,
55,968,sweep,sweep,
56,59,boiling-water,boiling-water,
57,53,boiling-water,boiling-water,
58,668,juicer,juicer,
59,1040,cupboard,cupboard,
60,557,fridge,fridge,
61,580,frying-pan,frying-pan,
62,308,cutlery,cutlery,
63,737,peel,peel,
64,272,cupboard,cupboard,
65,109,book,book,
66,1047,peel,peel,
67,217,clean-dishes,clean-dishes,
68,714,microwave,dishwasher,
69,244,clean-dishes,clean-dishes,
70,299,cutlery,cutlery,
71,921,stove-fan,stove-fan,
72,678,microwave,microwave,
73,155,chopping,chopping,
74,27,blender,blender,
75,348,cutlery,cutlery,
76,283,cupboard,cupboard,
77,546,fridge,drawer,
78,673,juicer,juicer,
79,604,frying-pan,frying-pan,
