,index,truth,prediction,issue
0,496,eat,chopping,
1,958,sweep,sweep,
2,589,frying-pan,frying-pan,
3,83,boiling-water,boiling-water,
4,850,stove-burner,stove-burner,
5,839,stove-burner,stove-burner,
6,951,sweep,sweep,
7,941,sweep,sweep,
8,750,peel,peel,
9,878,stove-fan,stove-fan,
10,14,blender,blender,
11,267,cupboard,cupboard,
12,846,stove-burner,stove-burner,
13,932,sweep,clean-dishes,
14,895,stove-fan,stove-fan,
15,419,dishwasher,clean-dishes,
16,697,microwave,book,
17,180,chopping,chopping,
18,1056,juicer,juicer,
19,1029,water-flowing,water-flowing,
20,498,eat,eat,
21,335,cutlery,cutlery,
22,798,plates,plates,
23,699,microwave,microwave,
24,978,sweep,sweep,
25,283,cupboard,cupboard,
26,868,stove-burner,water-flowing,
27,593,frying-pan,frying-pan,
28,329,cutlery,cutlery,
29,676,microwave,microwave,
30,644,juicer,juicer,
31,648,juicer,juicer,
32,290,cutlery,cutlery,
33,598,frying-pan,frying-pan,
34,75,boiling-water,boiling-water,
35,731,peel,peel,
36,465,drawer,drawer,
37,963,sweep,sweep,
38,667,juicer,juicer,
39,994,water-flowing,water-flowing,
40,11,blender,blender,
41,1060,juicer,juicer,
42,81,boiling-water,boiling-water,
43,207,clean-dishes,clean-dishes,
44,701,microwave,microwave,
45,491,eat,eat,
46,547,fridge,chopping,
47,909,stove-fan,stove-fan,
48,434,drawer,drawer,
49,693,microwave,dishwasher,
50,724,microwave,microwave,
51,103,book,book,
52,170,chopping,chopping,
53,875,stove-fan,stove-fan,
54,885,stove-fan,stove-fan,
55,123,book,book,
56,1046,peel,peel,
57,249,clean-dishes,clean-dishes,
58,601,frying-pan,frying-pan,
59,154,chopping,chopping,
60,1021,water-flowing,water-flowing,
61,25,blender,blender,
62,529,fridge,fridge,
63,94,book,book,
64,509,eat,eat,
65,812,plates,plates,
66,918,stove-fan,stove-fan,
67,122,book,book,
68,977,sweep,sweep,
69,845,stove-burner,stove-burner,
70,866,stove-burner,stove-burner,
71,235,clean-dishes,clean-dishes,
72,282,cupboard,cupboard,
73,928,stove-fan,stove-fan,
74,515,eat,eat,
75,714,microwave,dishwasher,
76,1032,water-flowing,water-flowing,
77,662,juicer,juicer,
78,1052,peel,peel,
79,1007,water-flowing,water-flowing,
