,index,truth,prediction,issue
0,792,plates,plates,
1,663,juicer,blender,
2,819,plates,plates,
3,256,cupboard,cupboard,
4,633,frying-pan,frying-pan,
5,380,dishwasher,dishwasher,
6,637,frying-pan,frying-pan,
7,906,stove-fan,dishwasher,
8,409,dishwasher,dishwasher,
9,1064,juicer,juicer,
10,243,clean-dishes,clean-dishes,
11,316,cutlery,cutlery,
12,556,fridge,drawer,
13,198,clean-dishes,clean-dishes,
14,461,drawer,drawer,
15,851,stove-burner,boiling-water,
16,579,frying-pan,frying-pan,
17,896,stove-fan,dishwasher,
18,839,stove-burner,stove-burner,
19,543,fridge,fridge,
20,708,microwave,microwave,
21,732,peel,cutlery,
22,294,cutlery,cutlery,
23,89,boiling-water,boiling-water,
24,812,plates,plates,
25,810,plates,plates,
26,865,stove-burner,stove-burner,
27,376,dishwasher,dishwasher,
28,269,cupboard,cupboard,
29,156,chopping,chopping,
30,482,eat,eat,
31,297,cutlery,cutlery,
32,770,plates,plates,
33,840,stove-burner,stove-burner,
34,455,drawer,drawer,
35,1001,water-flowing,clean-dishes,
36,54,boiling-water,boiling-water,
37,1049,peel,boiling-water,
38,66,boiling-water,boiling-water,
39,501,eat,eat,
40,546,fridge,drawer,
41,716,microwave,microwave,
42,474,drawer,drawer,
43,882,stove-fan,stove-fan,
44,265,cupboard,cupboard,
45,1017,water-flowing,water-flowing,
46,1000,water-flowing,water-flowing,
47,44,blender,juicer,
48,1039,cupboard,cupboard,
49,143,book,book,
50,569,fridge,fridge,
51,527,fridge,fridge,
52,257,cupboard,cupboard,
53,428,drawer,drawer,
54,427,drawer,drawer,
55,211,clean-dishes,clean-dishes,
56,1020,water-flowing,water-flowing,
57,423,dishwasher,dishwasher,
58,822,plates,plates,
59,811,plates,plates,
60,302,cutlery,cutlery,
61,422,dishwasher,dishwasher,
62,217,clean-dishes,clean-dishes,
63,861,stove-burner,stove-burner,
64,713,microwave,microwave,
65,127,book,book,
66,672,juicer,blender,
67,53,boiling-water,boiling-water,
68,733,peel,peel,
69,137,book,book,
70,61,boiling-water,boiling-water,
71,499,eat,eat,
72,457,drawer,drawer,
73,189,chopping,chopping,
74,1069,juicer,juicer,
75,889,stove-fan,dishwasher,
76,83,boiling-water,water-flowing,
77,348,cutlery,cutlery,
78,271,cupboard,cupboard,
79,126,book,book,
