,index,truth,prediction,issue
0,971,sweep,sweep,
1,422,dishwasher,dishwasher,
2,797,plates,dishwasher,
3,405,dishwasher,dishwasher,
4,31,blender,blender,
5,876,stove-fan,stove-fan,
6,359,dishwasher,clean-dishes,
7,20,blender,blender,
8,959,sweep,sweep,
9,358,cutlery,cutlery,
10,48,boiling-water,stove-fan,
11,772,plates,plates,
12,993,water-flowing,water-flowing,
13,393,dishwasher,dishwasher,
14,555,fridge,peel,
15,291,cutlery,cutlery,
16,683,microwave,microwave,
17,738,peel,peel,
18,250,cupboard,cupboard,
19,941,sweep,sweep,
20,254,cupboard,cupboard,
21,770,plates,plates,
22,859,stove-burner,stove-burner,
23,371,dishwasher,stove-burner,
24,441,drawer,cutlery,
25,183,chopping,chopping,
26,123,book,book,
27,29,blender,blender,
28,42,blender,blender,
29,862,stove-burner,water-flowing,
30,602,frying-pan,frying-pan,
31,544,fridge,fridge,
32,12,blender,blender,
33,451,drawer,cupboard,
34,803,plates,plates,
35,545,fridge,fridge,
36,382,dishwasher,dishwasher,
37,515,eat,eat,
38,438,drawer,drawer,
39,794,plates,plates,
40,269,cupboard,cupboard,
41,323,cutlery,cutlery,
42,345,cutlery,cutlery,
43,833,stove-burner,water-flowing,
44,735,peel,peel,
45,1059,juicer,juicer,
46,891,stove-fan,stove-fan,
47,335,cutlery,cutlery,
48,951,sweep,sweep,
49,697,microwave,stove-fan,
50,743,peel,peel,
51,628,frying-pan,water-flowing,
52,819,plates,plates,
53,854,stove-burner,stove-burner,
54,917,stove-fan,stove-fan,
55,233,clean-dishes,clean-dishes,
56,567,fridge,drawer,
57,138,book,book,
58,67,boiling-water,frying-pan,
59,991,water-flowing,water-flowing,
60,457,drawer,cupboard,
61,1043,cupboard,cupboard,
62,276,cupboard,cupboard,
63,162,chopping,chopping,
64,824,plates,plates,
65,159,chopping,chopping,
66,571,fridge,fridge,
67,898,stove-fan,blender,
68,196,clean-dishes,clean-dishes,
69,982,sweep,sweep,
70,872,stove-burner,stove-burner,
71,771,plates,plates,
72,201,clean-dishes,clean-dishes,
73,842,stove-burner,stove-burner,
74,127,book,book,
75,642,juicer,juicer,
76,729,peel,peel,
77,16,blender,blender,
78,878,stove-fan,stove-burner,
79,1018,water-flowing,water-flowing,
