,index,truth,prediction,issue
0,925,stove-fan,dishwasher,
1,537,fridge,cupboard,
2,779,plates,chopping,
3,773,plates,plates,
4,500,eat,eat,
5,694,microwave,microwave,
6,576,frying-pan,boiling-water,
7,854,stove-burner,stove-burner,
8,468,drawer,drawer,
9,182,chopping,chopping,
10,652,juicer,blender,
11,823,plates,plates,
12,485,eat,eat,
13,1033,water-flowing,water-flowing,
14,70,boiling-water,boiling-water,
15,981,sweep,peel,
16,549,fridge,cupboard,
17,353,cutlery,cutlery,
18,445,drawer,drawer,
19,117,book,book,
20,318,cutlery,cutlery,
21,638,frying-pan,frying-pan,
22,780,plates,plates,
23,763,peel,peel,
24,1025,water-flowing,water-flowing,
25,963,sweep,sweep,
26,992,water-flowing,water-flowing,
27,730,peel,chopping,
28,37,blender,blender,
29,971,sweep,sweep,
30,557,fridge,fridge,
31,236,clean-dishes,clean-dishes,
32,432,drawer,drawer,
33,450,drawer,drawer,
34,487,eat,eat,
35,546,fridge,cupboard,
36,474,drawer,drawer,
37,417,dishwasher,dishwasher,
38,350,cutlery,cutlery,
39,647,juicer,blender,
40,753,peel,peel,
41,354,cutlery,cutlery,
42,457,drawer,drawer,
43,73,boiling-water,boiling-water,
44,990,water-flowing,stove-fan,
45,770,plates,plates,
46,985,sweep,sweep,
47,768,plates,plates,
48,663,juicer,blender,
49,401,dishwasher,stove-fan,
50,901,stove-fan,stove-fan,
51,22,blender,blender,
52,148,chopping,chopping,
53,650,juicer,microwave,
54,168,chopping,chopping,
55,50,boiling-water,boiling-water,
56,612,frying-pan,frying-pan,
57,792,plates,plates,
58,571,fridge,fridge,
59,359,dishwasher,dishwasher,
60,300,cutlery,cutlery,
61,833,stove-burner,stove-burner,
62,615,frying-pan,boiling-water,
63,390,dishwasher,dishwasher,
64,741,peel,peel,
65,622,frying-pan,frying-pan,
66,147,chopping,chopping,
67,866,stove-burner,stove-burner,
68,71,boiling-water,boiling-water,
69,1007,water-flowing,clean-dishes,
70,346,cutlery,cutlery,
71,677,microwave,microwave,
72,793,plates,plates,
73,932,sweep,sweep,
74,856,stove-burner,stove-burner,
75,476,drawer,drawer,
76,1026,water-flowing,frying-pan,
77,150,chopping,chopping,
78,659,juicer,blender,
79,321,cutlery,cutlery,
