,index,truth,prediction,issue
0,195,clean-dishes,clean-dishes,
1,604,frying-pan,frying-pan,
2,116,book,book,
3,948,sweep,drawer,
4,250,cupboard,cupboard,
5,326,cutlery,plates,
6,576,frying-pan,boiling-water,
7,15,blender,chopping,
8,985,sweep,sweep,
9,212,clean-dishes,drawer,
10,493,eat,eat,
11,469,drawer,cupboard,
12,825,plates,plates,
13,822,plates,plates,
14,64,boiling-water,boiling-water,
15,638,frying-pan,water-flowing,
16,432,drawer,plates,
17,12,blender,chopping,
18,459,drawer,cupboard,
19,772,plates,plates,
20,259,cupboard,cupboard,
21,614,frying-pan,frying-pan,
22,338,cutlery,plates,
23,197,clean-dishes,clean-dishes,
24,80,boiling-water,water-flowing,
25,82,boiling-water,boiling-water,
26,210,clean-dishes,water-flowing,
27,826,plates,plates,
28,629,frying-pan,frying-pan,
29,960,sweep,sweep,
30,573,frying-pan,frying-pan,
31,995,water-flowing,clean-dishes,
32,244,clean-dishes,clean-dishes,
33,278,cupboard,cupboard,
34,557,fridge,fridge,
35,139,book,book,
36,761,peel,peel,
37,122,book,book,
38,890,stove-fan,blender,
39,266,cupboard,cupboard,
40,412,dishwasher,clean-dishes,
41,580,frying-pan,frying-pan,
42,522,eat,eat,
43,836,stove-burner,stove-burner,
44,661,juicer,blender,
45,277,cupboard,cupboard,
46,972,sweep,sweep,
47,134,book,book,
48,767,plates,plates,
49,1026,water-flowing,water-flowing,
50,53,boiling-water,boiling-water,
51,967,sweep,sweep,
52,409,dishwasher,dishwasher,
53,646,juicer,chopping,
54,684,microwave,fridge,
55,473,drawer,cutlery,
56,392,dishwasher,dishwasher,
57,997,water-flowing,clean-dishes,
58,398,dishwasher,fridge,
59,964,sweep,sweep,
60,878,stove-fan,stove-burner,
61,387,dishwasher,dishwasher,
62,852,stove-burner,stove-burner,
63,78,boiling-water,boiling-water,
64,977,sweep,sweep,
65,770,plates,plates,
66,762,peel,peel,
67,923,stove-fan,stove-fan,
68,308,cutlery,cutlery,
69,676,microwave,fridge,
70,1061,juicer,blender,
71,327,cutlery,cutlery,
72,1004,water-flowing,water-flowing,
73,330,cutlery,cutlery,
74,749,peel,peel,
75,798,plates,plates,
76,857,stove-burner,cupboard,
77,174,chopping,chopping,
78,674,juicer,blender,
79,1024,water-flowing,water-flowing,
