,index,truth,prediction,issue
0,783,plates,plates,
1,176,chopping,chopping,
2,165,chopping,chopping,
3,467,drawer,dishwasher,
4,145,chopping,peel,
5,1060,juicer,blender,
6,33,blender,blender,
7,207,clean-dishes,water-flowing,
8,371,dishwasher,stove-fan,
9,678,microwave,microwave,
10,501,eat,eat,
11,580,frying-pan,boiling-water,
12,436,drawer,drawer,
13,922,stove-fan,stove-fan,
14,651,juicer,dishwasher,
15,378,dishwasher,boiling-water,
16,26,blender,blender,
17,992,water-flowing,water-flowing,
18,216,clean-dishes,clean-dishes,
19,353,cutlery,cutlery,
20,35,blender,juicer,
21,360,dishwasher,dishwasher,
22,862,stove-burner,stove-burner,
23,913,stove-fan,stove-fan,
24,123,book,book,
25,881,stove-fan,stove-fan,
26,362,dishwasher,boiling-water,
27,715,microwave,stove-fan,
28,336,cutlery,cutlery,
29,119,book,book,
30,639,frying-pan,frying-pan,
31,606,frying-pan,frying-pan,
32,388,dishwasher,stove-fan,
33,320,cutlery,cutlery,
34,540,fridge,cupboard,
35,611,frying-pan,frying-pan,
36,608,frying-pan,frying-pan,
37,233,clean-dishes,clean-dishes,
38,875,stove-fan,stove-fan,
39,797,plates,plates,
40,738,peel,peel,
41,493,eat,eat,
42,954,sweep,sweep,
43,694,microwave,stove-fan,
44,386,dishwasher,dishwasher,
45,548,fridge,drawer,
46,496,eat,eat,
47,443,drawer,drawer,
48,690,microwave,stove-fan,
49,294,cutlery,cutlery,
50,545,fridge,cupboard,
51,131,book,book,
52,987,sweep,sweep,
53,1057,juicer,dishwasher,
54,99,book,book,
55,41,blender,blender,
56,695,microwave,microwave,
57,45,blender,blender,
58,46,blender,blender,
59,664,juicer,juicer,
60,826,plates,plates,
61,306,cutlery,cutlery,
62,293,cutlery,clean-dishes,
63,943,sweep,sweep,
64,105,book,book,
65,884,stove-fan,stove-fan,
66,969,sweep,sweep,
67,940,sweep,sweep,
68,335,cutlery,cutlery,
69,726,peel,peel,
70,658,juicer,blender,
71,138,book,book,
72,169,chopping,chopping,
73,50,boiling-water,boiling-water,
74,330,cutlery,cutlery,
75,40,blender,juicer,
76,796,plates,plates,
77,1053,juicer,juicer,
78,31,blender,blender,
79,238,clean-dishes,water-flowing,
