,index,truth,prediction,issue
0,949,sweep,peel,
1,44,blender,blender,
2,145,chopping,chopping,
3,147,chopping,chopping,
4,261,cupboard,cupboard,
5,25,blender,juicer,
6,638,frying-pan,water-flowing,
7,698,microwave,microwave,
8,1059,juicer,juicer,
9,467,drawer,drawer,
10,1026,water-flowing,water-flowing,
11,562,fridge,dishwasher,
12,809,plates,plates,
13,397,dishwasher,dishwasher,
14,75,boiling-water,frying-pan,
15,92,boiling-water,boiling-water,
16,951,sweep,peel,
17,423,dishwasher,dishwasher,
18,921,stove-fan,stove-fan,
19,408,dishwasher,dishwasher,
20,519,eat,eat,
21,554,fridge,drawer,
22,418,dishwasher,dishwasher,
23,312,cutlery,cutlery,
24,283,cupboard,cupboard,
25,636,frying-pan,frying-pan,
26,587,frying-pan,frying-pan,
27,143,book,book,
28,518,eat,eat,
29,5,blender,juicer,
30,1054,juicer,juicer,
31,400,dishwasher,dishwasher,
32,634,frying-pan,frying-pan,
33,1048,peel,chopping,
34,1038,cupboard,drawer,
35,622,frying-pan,frying-pan,
36,473,drawer,drawer,
37,996,water-flowing,water-flowing,
38,956,sweep,sweep,
39,958,sweep,peel,
40,862,stove-burner,stove-fan,
41,896,stove-fan,boiling-water,
42,424,dishwasher,dishwasher,
43,842,stove-burner,stove-burner,
44,748,peel,peel,
45,937,sweep,sweep,
46,592,frying-pan,frying-pan,
47,477,drawer,drawer,
48,166,chopping,chopping,
49,775,plates,plates,
50,360,dishwasher,dishwasher,
51,115,book,book,
52,160,chopping,chopping,
53,9,blender,blender,
54,153,chopping,chopping,
55,208,clean-dishes,clean-dishes,
56,349,cutlery,cutlery,
57,736,peel,peel,
58,917,stove-fan,stove-fan,
59,26,blender,blender,
60,287,cupboard,cupboard,
61,854,stove-burner,stove-burner,
62,42,blender,blender,
63,817,plates,plates,
64,436,drawer,drawer,
65,380,dishwasher,dishwasher,
66,273,cupboard,cupboard,
67,156,chopping,chopping,
68,262,cupboard,cupboard,
69,515,eat,eat,
70,791,plates,cutlery,
71,284,cupboard,cupboard,
72,69,boiling-water,boiling-water,
73,549,fridge,drawer,
74,723,microwave,microwave,
75,768,plates,plates,
76,130,book,book,
77,665,juicer,juicer,
78,493,eat,eat,
79,1000,water-flowing,water-flowing,
