,index,truth,prediction,issue
0,533,fridge,fridge,
1,36,blender,blender,
2,21,blender,blender,
3,279,cupboard,cupboard,
4,816,plates,plates,
5,231,clean-dishes,water-flowing,
6,567,fridge,fridge,
7,934,sweep,sweep,
8,309,cutlery,cutlery,
9,1002,water-flowing,water-flowing,
10,625,frying-pan,frying-pan,
11,872,stove-burner,stove-burner,
12,850,stove-burner,stove-burner,
13,976,sweep,sweep,
14,306,cutlery,cutlery,
15,353,cutlery,cutlery,
16,246,clean-dishes,clean-dishes,
17,481,eat,eat,
18,311,cutlery,cutlery,
19,267,cupboard,cupboard,
20,540,fridge,fridge,
21,518,eat,eat,
22,259,cupboard,cupboard,
23,431,drawer,drawer,
24,323,cutlery,cutlery,
25,64,boiling-water,boiling-water,
26,868,stove-burner,stove-burner,
27,574,frying-pan,frying-pan,
28,1013,water-flowing,water-flowing,
29,945,sweep,sweep,
30,867,stove-burner,stove-burner,
31,421,dishwasher,dishwasher,
32,819,plates,plates,
33,818,plates,plates,
34,303,cutlery,cutlery,
35,478,drawer,drawer,
36,167,chopping,chopping,
37,486,eat,eat,
38,660,juicer,juicer,
39,215,clean-dishes,clean-dishes,
40,684,microwave,stove-fan,
41,97,book,book,
42,516,eat,eat,
43,848,stove-burner,stove-burner,
44,862,stove-burner,stove-burner,
45,228,clean-dishes,clean-dishes,
46,386,dishwasher,dishwasher,
47,1065,juicer,juicer,
48,708,microwave,microwave,
49,312,cutlery,cutlery,
50,273,cupboard,cupboard,
51,275,cupboard,cupboard,
52,692,microwave,stove-fan,
53,182,chopping,chopping,
54,493,eat,eat,
55,18,blender,blender,
56,28,blender,blender,
57,751,peel,peel,
58,858,stove-burner,stove-burner,
