,index,truth,prediction,issue
0,673,juicer,juicer,
1,727,peel,peel,
2,374,dishwasher,microwave,
3,157,chopping,chopping,
4,427,drawer,drawer,
5,586,frying-pan,frying-pan,
6,774,plates,plates,
7,381,dishwasher,blender,
8,358,cutlery,cutlery,
9,579,frying-pan,frying-pan,
10,16,blender,juicer,
11,465,drawer,cupboard,
12,58,boiling-water,frying-pan,
13,336,cutlery,cutlery,
14,288,cupboard,cupboard,
15,76,boiling-water,water-flowing,
16,1027,water-flowing,water-flowing,
17,208,clean-dishes,water-flowing,
18,763,peel,peel,
19,144,book,book,
20,941,sweep,sweep,
21,720,microwave,dishwasher,
22,678,microwave,microwave,
23,749,peel,peel,
24,624,frying-pan,frying-pan,
25,227,clean-dishes,clean-dishes,
26,56,boiling-water,frying-pan,
27,536,fridge,fridge,
28,531,fridge,fridge,
29,1042,cupboard,cupboard,
30,632,frying-pan,frying-pan,
31,147,chopping,chopping,
32,858,stove-burner,stove-burner,
33,1031,water-flowing,water-flowing,
34,598,frying-pan,frying-pan,
35,716,microwave,microwave,
36,516,eat,eat,
37,340,cutlery,cutlery,
38,430,drawer,drawer,
39,799,plates,plates,
40,885,stove-fan,blender,
41,83,boiling-water,water-flowing,
42,468,drawer,drawer,
43,839,stove-burner,stove-burner,
44,1003,water-flowing,clean-dishes,
45,84,boiling-water,blender,
46,910,stove-fan,stove-fan,
47,945,sweep,sweep,
48,729,peel,peel,
49,166,chopping,chopping,
50,123,book,book,
51,161,chopping,sweep,
52,1058,juicer,blender,
53,418,dishwasher,microwave,
54,278,cupboard,cupboard,
55,390,dishwasher,dishwasher,
56,109,book,book,
57,686,microwave,microwave,
58,467,drawer,drawer,
59,929,sweep,sweep,
60,900,stove-fan,stove-fan,
61,946,sweep,sweep,
62,522,eat,eat,
63,60,boiling-water,water-flowing,
64,271,cupboard,cupboard,
65,252,cupboard,cupboard,
66,546,fridge,clean-dishes,
67,203,clean-dishes,frying-pan,
68,127,book,book,
69,894,stove-fan,stove-fan,
70,206,clean-dishes,clean-dishes,
71,933,sweep,frying-pan,
72,742,peel,peel,
73,97,book,book,
74,231,clean-dishes,clean-dishes,
75,922,stove-fan,dishwasher,
76,450,drawer,drawer,
77,194,clean-dishes,clean-dishes,
78,314,cutlery,cutlery,
